Attribute1,Attribute2,Label
7,41,0
16,93,0
80,3,0
3,77,0
12,47,0
54,95,0
83,43,0
76,100,1
48,34,0
93,62,0
31,37,0
57,12,0
80,0,0
36,21,0
77,42,0
37,0,0
58,96,0
19,64,0
97,78,1
49,85,0
1,54,0
59,0,0
32,44,0
24,25,0
50,3,0
40,82,0
57,78,0
13,93,0
3,35,0
85,29,0
47,43,0
80,5,0
19,67,0
1,33,0
41,41,0
41,77,0
96,46,0
98,19,0
52,21,0
27,98,0
57,96,0
61,1,0
17,89,0
90,89,1
15,30,0
2,82,0
7,100,0
14,15,0
17,53,0
39,11,0
18,35,0
22,46,0
2,92,0
21,19,0
26,65,0
60,4,0
51,79,0
43,38,0
44,8,0
54,75,0
70,56,0
39,59,0
8,2,0
95,59,0
44,41,0
45,89,0
91,0,0
84,45,0
28,59,0
59,35,0
67,70,0
83,36,0
91,26,0
31,57,0
42,30,0
13,26,0
70,19,0
44,13,0
46,18,0
15,27,0
99,68,0
96,44,0
51,96,0
29,86,0
30,56,0
0,88,0
16,92,0
81,14,0
84,13,0
45,71,0
83,22,0
21,51,0
74,91,1
51,36,0
62,42,0
87,88,1
81,63,0
33,95,0
56,9,0
12,68,0
62,27,0
33,57,0
37,100,0
32,13,0
45,84,0
67,75,0
47,81,0
13,49,0
16,10,0
48,10,0
96,58,0
31,80,0
89,17,0
80,53,0
16,44,0
51,73,0
60,70,0
60,86,0
76,92,1
67,94,0
77,64,0
84,60,0
12,37,0
88,28,0
79,94,1
86,39,0
48,81,0
96,35,0
36,19,0
28,67,0
85,54,0
23,4,0
45,8,0
46,39,0
87,27,0
28,78,0
0,73,0
81,90,1
33,12,0
28,88,0
71,1,0
10,83,0
38,86,0
50,11,0
54,72,0
30,0,0
46,90,0
52,50,0
91,100,1
32,54,0
21,74,0
33,83,0
44,6,0
51,76,0
45,39,0
17,90,0
88,14,0
18,7,0
55,49,0
36,23,0
77,49,0
40,2,0
4,19,0
83,14,0
8,1,0
56,72,0
65,54,0
69,34,0
91,63,0
6,39,0
50,17,0
38,39,0
77,85,1
4,52,0
72,40,0
39,3,0
19,22,0
99,76,1
75,92,1
28,44,0
28,6,0
96,38,0
46,78,0
58,5,0
81,28,0
100,100,1
37,12,0
15,57,0
33,21,0
16,13,0
9,61,0
14,49,0
33,45,0
52,91,0
32,51,0
83,69,0
35,74,0
46,11,0
53,88,0
85,88,1
33,86,0
8,2,0
28,99,0
48,55,0
16,88,0
83,25,0
52,9,0
37,62,0
59,29,0
28,21,0
34,50,0
68,10,0
85,68,0
36,79,0
71,94,1
74,76,1
26,78,0
1,28,0
41,93,0
41,20,0
93,57,0
27,74,0
88,49,0
4,23,0
43,62,0
31,24,0
72,4,0
88,51,0
86,14,0
52,12,0
91,68,0
39,63,0
100,11,0
15,43,0
39,94,0
87,39,0
42,86,0
19,52,0
57,70,0
78,72,1
62,43,0
36,74,0
99,10,0
65,31,0
75,66,0
90,100,1
7,60,0
96,54,0
42,7,0
46,82,0
71,95,1
3,43,0
90,41,0
12,29,0
47,18,0
33,38,0
76,26,0
43,32,0
24,21,0
42,19,0
51,27,0
71,90,1
75,49,0
50,50,0
96,56,0
7,6,0
90,13,0
